filename,task,expected_text,grade
hgxrel.wav,deletion,old,KG
ltbona.wav,sentence_repetition,he wouldnt go with his sister because he was tired,KG
bfaiol.wav,nonword_repetition,chav,KG
ktvyww.wav,sentence_repetition,ring the bell on the desk to get her attention,2
htfbnp.wav,blending,kite,KG
czfqjg.wav,nonword_repetition,koovnorb,1
atqhsc.wav,nonword_repetition,voimkooheefgahyp,1
mxvygo.wav,sentence_repetition,play with your friends when you are at their house,KG
aqncgk.wav,nonword_repetition,gahyf,KG
fprljz.wav,deletion,eat,KG
idjpne.wav,blending,feet,KG
ciabfm.wav,nonword_repetition,goomdachahytowb,1
jckgao.wav,blending,knife,KG
gyguoc.wav,deletion,tell,KG
buajpo.wav,nonword_repetition,goomdachahytowb,1
fbidws.wav,deletion,bee,KG
gezxom.wav,deletion,tell,KG
kdnrhd.wav,sentence_repetition,go ask the teacher if our group is going to write the letters,2
mmdqea.wav,sentence_repetition,the small truck was hit by the car that was going too fast,KG
hbyheg.wav,deletion,so,KG
caqlmg.wav,nonword_repetition,geemferbowvkervoog,1
ivffzv.wav,blending,backpack,KG
fkrxex.wav,deletion,bee,KG
jsnbhp.wav,blending,eyelash,KG
ehpnuh.wav,nonword_repetition,boovteypahygfuhdap,1
lnxfzi.wav,sentence_repetition,those five fluffy sheep belong to our neighbor across the street,2
ahjaoe.wav,nonword_repetition,koofpergoibneek,1
judywx.wav,blending,rabbit,KG
ifgeod.wav,blending,face,KG
dvzqqu.wav,nonword_repetition,vohp,KG
jylomh.wav,sentence_repetition,the children can play but they need to be quiet,1
gyusmk.wav,deletion,it,KG
ctwccb.wav,nonword_repetition,tohfpeeg,KG
bmvgtg.wav,nonword_repetition,huhvohkdooteyf,KG
kzrptf.wav,sentence_repetition,could we swim in the pool all day today instead of working in the yard,2
gvojsq.wav,deletion,bee,KG
juztdq.wav,blending,mud,KG
cnkcuy.wav,nonword_repetition,nohfteyg,1
kawptg.wav,sentence_repetition,go ask the teacher if our group is going to write the letters,2
kdnxkt.wav,sentence_repetition,the old jacket has a weird smell,KG
gjgkac.wav,deletion,bed,KG
liwstx.wav,sentence_repetition,the two cats who chased the dog jumped through the round hoop,2
emsfbt.wav,deletion,cream,KG
eioems.wav,nonword_repetition,goomdachahytowb,1
jeyysz.wav,blending,piano,KG
isfrrd.wav,blending,sleep,KG
jnsbgf.wav,blending,kite,KG
jphcyw.wav,blending,hamburger,KG
azkscj.wav,nonword_repetition,murdapfuhgowt,2
ckfarl.wav,nonword_repetition,kuhcheyvap,KG
ckefoe.wav,nonword_repetition,moif,KG
htbbuf.wav,blending,desk,KG
